datetime,lat,lon,unknown,Power,kA,strokes
2013-05-19 20:15:34,35.692,-97.742,531.6,95.1,kA,2
2013-05-19 20:16:09,35.685,-97.73299999999999,80.1,17.9,kA,2
2013-05-19 20:19:28,35.632,-97.671,63.7,15.1,kA,1
2013-05-19 20:29:14,35.785,-97.60700000000001,303.5,56.1,kA,1
2013-05-19 20:31:28,35.599000000000004,-97.661,-113.5,-15.2,kA,2
2013-05-19 20:31:46,35.751999999999995,-97.7,121.6,25.0,kA,2
2013-05-19 20:32:07,35.479,-97.712,-146.8,-20.9,kA,1
2013-05-19 20:37:03,35.616,-97.677,73.7,16.8,kA,1
2013-05-19 20:37:07,35.68,-97.48299999999999,-160.2,-23.2,kA,1
2013-05-19 20:38:03,35.665,-97.693,72.5,16.6,kA,2
2013-05-19 20:38:10,35.406,-97.771,-119.9,-16.3,kA,2
2013-05-19 20:38:50,35.679,-97.633,-133.9,-18.7,kA,1
2013-05-19 20:39:04,35.664,-97.677,-126.9,-17.5,kA,1
2013-05-19 20:39:52,35.541,-97.505,-122.2,-16.7,kA,2
2013-05-19 20:42:50,35.672,-97.552,1115.8,195.0,kA,1
2013-05-19 20:43:44,35.516,-97.62100000000001,-126.3,-17.4,kA,1
2013-05-19 20:43:51,35.613,-97.525,470.8,84.7,kA,1
2013-05-19 20:43:52,35.507,-97.714,-126.9,-17.5,kA,3
2013-05-19 20:44:05,35.635999999999996,-97.508,394.7,71.7,kA,3
2013-05-19 20:44:29,35.625,-97.585,-142.1,-20.1,kA,1
2013-05-19 20:44:32,35.623000000000005,-97.50200000000001,547.4,97.8,kA,1
2013-05-19 20:44:43,35.657,-97.595,-131.6,-18.3,kA,1
2013-05-19 20:45:10,35.663000000000004,-97.425,-118.1,-16.0,kA,1
2013-05-19 20:45:10,35.684,-97.539,286.5,53.2,kA,1
2013-05-19 20:45:31,35.658,-97.53299999999999,491.2,88.2,kA,1
2013-05-19 20:45:48,35.724000000000004,-97.245,-125.1,-17.2,kA,1
2013-05-19 20:45:59,35.691,-97.53399999999999,308.8,57.0,kA,1
2013-05-19 20:46:05,35.687,-97.539,305.3,56.4,kA,1
2013-05-19 20:46:22,35.683,-97.53299999999999,497.1,89.2,kA,2
2013-05-19 20:46:31,35.674,-97.537,481.9,86.6,kA,1
2013-05-19 20:46:31,35.698,-97.689,66.1,15.5,kA,1
2013-05-19 20:46:36,35.703,-97.546,619.9,110.2,kA,1
2013-05-19 20:46:50,35.681,-97.52799999999999,586.5,104.5,kA,1
2013-05-19 20:47:00,35.695,-97.54899999999999,780.1,137.6,kA,1
2013-05-19 20:47:05,35.698,-97.531,514.6,92.2,kA,2
2013-05-19 20:47:10,35.677,-97.54899999999999,652.6,115.8,kA,1
2013-05-19 20:47:16,35.672,-97.501,547.4,97.8,kA,1
2013-05-19 20:47:30,35.736,-97.536,1308.8,228.0,kA,3
2013-05-19 20:47:31,35.585,-97.445,73.7,16.8,kA,1
2013-05-19 20:47:31,35.687,-97.54,532.2,95.2,kA,1
2013-05-19 20:47:46,35.732,-97.50399999999999,429.2,77.6,kA,2
2013-05-19 20:47:54,35.672,-97.521,598.8,106.6,kA,1
2013-05-19 20:47:57,35.650999999999996,-97.353,-139.2,-19.6,kA,1
2013-05-19 20:48:06,35.728,-97.664,778.4,137.3,kA,2
2013-05-19 20:48:07,35.823,-97.37899999999999,-114.6,-15.4,kA,1
2013-05-19 20:48:08,35.686,-97.488,433.9,78.4,kA,1
2013-05-19 20:48:20,35.711,-97.475,267.8,50.0,kA,1
2013-05-19 20:48:22,35.686,-97.527,589.5,105.0,kA,1
2013-05-19 20:48:25,35.707,-97.48899999999999,289.5,53.7,kA,1
2013-05-19 20:48:42,35.701,-97.484,472.5,85.0,kA,3
2013-05-19 20:48:49,35.717,-97.458,-158.5,-22.9,kA,3
2013-05-19 20:48:55,35.623000000000005,-97.71799999999999,76.0,17.2,kA,1
2013-05-19 20:48:56,35.64,-97.62299999999999,-120.5,-16.4,kA,1
2013-05-19 20:49:05,35.734,-97.509,388.3,70.6,kA,1
2013-05-19 20:49:10,35.649,-97.583,-116.4,-15.7,kA,1
2013-05-19 20:49:13,35.728,-97.546,416.4,75.4,kA,1
2013-05-19 20:49:23,35.635,-97.633,64.9,15.3,kA,1
2013-05-19 20:49:38,35.723,-97.45700000000001,188.3,36.4,kA,1
2013-05-19 20:49:44,35.739000000000004,-97.506,419.9,76.0,kA,1
2013-05-19 20:49:56,35.684,-97.49600000000001,849.1,149.4,kA,2
2013-05-19 20:49:58,35.664,-97.541,-123.4,-16.9,kA,1
2013-05-19 20:50:13,35.679,-97.484,901.8,158.4,kA,2
2013-05-19 20:50:20,35.705999999999996,-97.45700000000001,465.5,83.8,kA,3
2013-05-19 20:50:22,35.652,-97.368,-127.5,-17.6,kA,1
2013-05-19 20:50:29,35.657,-97.484,118.7,24.5,kA,1
2013-05-19 20:50:32,35.756,-97.598,-184.2,-27.3,kA,1
2013-05-19 20:50:40,35.711,-97.44200000000001,845.6,148.8,kA,2
2013-05-19 20:50:41,35.673,-97.594,-152.6,-21.9,kA,1
2013-05-19 20:50:55,35.686,-97.47200000000001,752.0,132.8,kA,1
2013-05-19 20:50:59,35.704,-97.47200000000001,724.6,128.1,kA,1
2013-05-19 20:51:09,35.719,-97.454,427.5,77.3,kA,1
2013-05-19 20:51:17,35.694,-97.465,443.9,80.1,kA,1
2013-05-19 20:51:22,35.699,-97.366,-157.3,-22.7,kA,1
2013-05-19 20:51:48,35.881,-97.523,107.0,22.5,kA,1
2013-05-19 20:51:53,35.615,-97.64399999999999,-139.8,-19.7,kA,1
2013-05-19 20:51:54,35.688,-97.456,719.3,127.2,kA,1
2013-05-19 20:52:00,35.696999999999996,-97.29,91.2,19.8,kA,3
2013-05-19 20:52:31,35.69,-97.432,936.8,164.4,kA,1
2013-05-19 20:53:05,35.658,-97.34100000000001,-124.6,-17.1,kA,1
2013-05-19 20:53:45,35.62,-97.49799999999999,-147.4,-21.0,kA,1
2013-05-19 20:54:01,35.679,-97.535,-112.9,-15.1,kA,1
2013-05-19 20:54:30,35.614000000000004,-97.426,-116.4,-15.7,kA,1
2013-05-19 20:56:07,35.716,-97.619,717.5,126.9,kA,1
2013-05-19 20:56:31,35.738,-97.573,-121.6,-16.6,kA,1
2013-05-19 20:56:58,35.748000000000005,-97.38799999999999,126.3,25.8,kA,1
2013-05-19 20:57:04,35.665,-97.444,66.7,15.6,kA,1
2013-05-19 20:57:18,35.679,-97.461,-188.9,-28.1,kA,1
2013-05-19 20:57:19,35.611,-97.40899999999999,102.9,21.8,kA,2
2013-05-19 20:58:18,35.699,-97.62899999999999,77.2,17.4,kA,1
2013-05-19 20:58:50,35.611,-97.59299999999999,94.7,20.4,kA,1
2013-05-19 20:58:53,35.684,-97.538,-130.4,-18.1,kA,1
2013-05-19 20:59:06,35.621,-97.52,-122.2,-16.7,kA,1
2013-05-19 20:59:06,35.705,-97.428,-128.7,-17.8,kA,1
2013-05-19 20:59:08,35.691,-97.491,-149.1,-21.3,kA,3
2013-05-19 20:59:32,35.699,-97.46600000000001,-145.0,-20.6,kA,1
2013-05-19 20:59:48,35.637,-97.52600000000001,-166.1,-24.2,kA,1
2013-05-19 20:59:55,35.55,-97.708,152.0,30.2,kA,1
2013-05-19 21:00:05,35.59,-97.37299999999999,-197.1,-29.5,kA,1
2013-05-19 21:00:20,35.717,-97.38799999999999,-114.0,-15.3,kA,1
2013-05-19 21:00:44,35.843,-97.54799999999999,-123.4,-16.9,kA,1
2013-05-19 21:00:54,35.582,-97.36200000000001,307.0,56.7,kA,1
2013-05-19 21:01:11,35.662,-97.50299999999999,92.4,20.0,kA,1
2013-05-19 21:01:25,35.703,-97.568,526.9,94.3,kA,2
2013-05-19 21:01:36,35.721,-97.637,107.6,22.6,kA,1
2013-05-19 21:01:37,35.626,-97.63600000000001,-176.0,-25.9,kA,1
2013-05-19 21:01:40,35.672,-97.494,159.1,31.4,kA,1
2013-05-19 21:01:43,35.683,-97.51100000000001,-169.0,-24.7,kA,4
