	no. of initiations
2013-05-19 20:32:24	26.0
2013-05-19 20:36:40	42.0
2013-05-19 20:40:56	63.0
2013-05-19 20:45:12	53.0
2013-05-19 20:49:28	141.0
2013-05-19 20:53:47	106.0
2013-05-19 20:58:03	120.0
2013-05-19 21:02:19	78.0
2013-05-19 21:06:34	66.0
2013-05-19 21:10:48	95.0
2013-05-19 21:15:03	111.0
2013-05-19 21:19:20	52.0
2013-05-19 21:23:39	83.0
2013-05-19 21:27:57	112.0
2013-05-19 21:32:13	57.0
2013-05-19 21:36:29	61.0
2013-05-19 21:40:44	21.0
2013-05-19 21:45:00	11.0
2013-05-19 21:49:14	7.0
2013-05-19 21:53:32	11.0
2013-05-19 21:57:47	12.0
2013-05-19 22:02:03	18.0
2013-05-19 22:06:17	14.0
2013-05-19 22:10:33	8.0
2013-05-19 22:14:50	1.0
2013-05-19 22:19:06	6.0
2013-05-19 22:23:22	9.0
2013-05-19 22:27:38	5.0
2013-05-19 22:31:53	3.0
2013-05-19 22:36:07	0.0
2013-05-19 22:40:25	0.0
