	2013-05-19 20:02:36	2013-05-19 20:06:52	2013-05-19 20:11:07	2013-05-19 20:15:23	2013-05-19 20:19:38	2013-05-19 20:23:52	2013-05-19 20:28:09	2013-05-19 20:32:24	2013-05-19 20:36:40	2013-05-19 20:40:56	2013-05-19 20:45:12	2013-05-19 20:49:28	2013-05-19 20:53:47	2013-05-19 20:58:03	2013-05-19 21:02:19	2013-05-19 21:06:34	2013-05-19 21:10:48	2013-05-19 21:15:03	2013-05-19 21:19:20	2013-05-19 21:23:39	2013-05-19 21:27:57	2013-05-19 21:32:13	2013-05-19 21:36:29	2013-05-19 21:40:44	2013-05-19 21:45:00	2013-05-19 21:49:14	2013-05-19 21:53:32	2013-05-19 21:57:47	2013-05-19 22:02:03	2013-05-19 22:06:17	2013-05-19 22:10:33	2013-05-19 22:14:50	2013-05-19 22:19:06	2013-05-19 22:23:22	2013-05-19 22:27:38	2013-05-19 22:31:53	2013-05-19 22:36:07	2013-05-19 22:40:25	2013-05-19 22:44:38	2013-05-19 22:48:56	2013-05-19 22:53:11	2013-05-19 22:57:25
0	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
1000	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
1500	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
2000	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
2500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
3000	5e-324	0.0	0.0	0.0	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
3500	5e-324	0.0	0.0	0.0	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	2.96e-322
4000	5.93e-322	0.0	0.0	0.0	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.1219957905e-314	2.96e-322	2.96e-322
4500	0.0	0.0	0.0	0.0	6e-322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.553876991e-314	2.96e-322	5e-324
5000	5e-324	0.0	0.0	0.0	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	6.94136221034716e-310	2.96e-322	0.0
5500	5e-324	0.0	0.0	0.0	5e-324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
6000	6e-322	0.0	0.0	0.0	5.93e-322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
6500	0.0	0.0	0.0	0.0	6e-322	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
7000	5e-324	0.0	0.0	0.0	5e-324	0.0	0.0	1.0	0.0	4.0	1.0	2.0	0.0	2.0	3.0	0.0	5.0	7.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	0.0
7500	5e-324	0.0	0.0	0.0	5e-324	0.0	0.0	1.0	1.0	2.0	3.0	8.0	6.0	4.0	2.0	0.0	7.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
8000	7.4e-323	0.0	0.0	0.0	6e-322	0.0	0.0	1.0	2.0	6.0	4.0	11.0	6.0	3.0	6.0	4.0	9.0	7.0	4.0	9.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	5e-324
8500	0.0	0.0	0.0	0.0	8e-323	0.0	0.0	5.0	4.0	4.0	5.0	15.0	17.0	18.0	9.0	5.0	14.0	6.0	6.0	4.0	8.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96e-322	2.96e-322	2.96e-322	6e-322
