	stn_name	lat	lon	status	geometry
0	Chickasha SE	35.0043455	-97.90730409999999	A	POINT (-97.90730409999999 35.0043455)
1	Dutton	35.245174799999994	-98.07548879999999	LOW	POINT (-98.07548879999999 35.24517479999999)
2	El Reno	35.4785046	-98.008938	A	POINT (-98.008938 35.4785046)
3	Goldsby	35.132517799999995	-97.51859990000001	A	POINT (-97.51859990000001 35.1325178)
4	FAA	35.3843732	-97.6208285	NA	POINT (-97.6208285 35.3843732)
5	Chickasha N	35.12996879999999	-97.9592651	LOW	POINT (-97.9592651 35.12996879999999)
6	Minco SE	35.2791257	-97.9178678	LOW	POINT (-97.9178678 35.2791257)
7	Middleberg	35.1347342	-97.7257633	A	POINT (-97.7257633 35.1347342)
8	Newcastle	35.2564446	-97.65892679999999	A	POINT (-97.65892679999999 35.2564446)
9	Minco W	35.3622021	-98.0397279	A	POINT (-98.0397279 35.3622021)
10	Yukon	35.4402883	-97.7782383	A	POINT (-97.7782383 35.4402883)
11	Altus Airport	34.69664	-99.34061	A	POINT (-99.34061 34.69664)
12	Prairie Hill	34.59502	-99.49368	A	POINT (-99.49368 34.59502)
13	Mangum	34.85923	-99.36121	A	POINT (-99.36121 34.85923)
14	Bluff	34.76794	-99.53924	A	POINT (-99.53924000000001 34.76794)
15	Olustee	34.51952	-99.43494	NA	POINT (-99.43494 34.51952)
16	Granite	34.97334	-99.44872	A	POINT (-99.44871999999999 34.97334)
17	Zombie	34.71161	-99.08026	NA	POINT (-99.08026 34.71161)
