Time,Size,Location,County,State,Lat,Lon,Comments
1605,100,4 NE NEWNAN,COWETA,GA,33.42,-84.75,LARGE HAIL WAS REPORTED ALONG NORTH HIGHWAY 29 NEAR GREENTOP ROAD. (FFC)
1643,100,5 S MOUNT STERLING,BROWN,IL,39.91,-90.76,(LSX)
1720,100,7 SW KNOXVILLE,KNOX,TN,35.9,-84.03,(MRX)
1740,125,BEARDEN,KNOX,TN,35.93,-84,HALF DOLLAR SIZE HAIL REPORTED BY SPOTTER. (MRX)
1745,100,5 E FARRAGUT,KNOX,TN,35.87,-84.09,QUARTER SIZE HAIL REPORTED ALONG KINGSTON PIKE NEAR GALLAGHER ROAD IN WEST KNOXVILLE. (MRX)
1747,125,4 NE OAK RIDGE,ANDERSON,TN,36,-84.25,HALF DOLLAR SIZE HAIL AND SEVERAL TREES DOWN (MRX)
1900,125,CORNING,NEMAHA,KS,39.66,-96.03,REPORT PROVIDED VIA SOCIAL MEDIA. (TOP)
1904,100,SE SMITHVILLE,DE KALB,TN,35.96,-85.82,ESPOTTER REPORT OF 1 INCH HAIL IN SMITHVILLE. (OHX)
1910,100,1 SW WHITEROCK,MADISON,NC,35.94,-82.71,(GSP)
1910,100,LIBERTY,GAGE,NE,40.08,-96.48,MOSTLY NICKEL BUT A FEW QUARTER-SIZE. (OAX)
1934,100,5 E MCMINNVILLE,WARREN,TN,35.69,-85.69,ESPOTTER REPORT OF QUARTER SIZE HAIL JUST EAST OF MCMINNVILLE. (OHX)
1950,100,1 ENE NORWICH,KINGMAN,KS,37.46,-97.83,(ICT)
1953,100,5 N MCMINNVILLE,WARREN,TN,35.76,-85.78,FACEBOOK REPORT OF 1 INCH DIAMETER HAIL IN THE FAULKER SPRINGS AREA JUST SOUTH OF GREEN HILL. (OHX)
1953,125,SE NORWICH,KINGMAN,KS,37.46,-97.84,(ICT)
1957,100,3 SSW BENNINGTON,OTTAWA,KS,38.99,-97.62,(TOP)
2005,100,4 NE DONALD,LONG,GA,31.87,-81.81,HAIL UP TO THE SIZE OF QUARTERS ON FLOWERS ROAD NEAR HW-196. (CHS)
2014,100,CHARLES CITY,FLOYD,IA,43.07,-92.68,(ARX)
2018,100,5 SW AXTELL,MARSHALL,KS,39.82,-96.33,(TOP)
2020,100,6 ENE KEARNEY,BUFFALO,NE,40.73,-98.98,(GID)
2024,175,5 WNW CLEARWATER,SEDGWICK,KS,37.53,-97.58,(ICT)
2025,100,HIGDON,JACKSON,AL,34.85,-85.62,QUARTER SIZED HAIL REPORTED IN THE HIGDON COMMUNITY (HUN)
2026,100,1 W OSAGE,MITCHELL,IA,43.28,-92.83,LOTS OF QUARTER SIZED HAIL COVERING THE GROUND ALONG HWY 9. (ARX)
2028,100,WNW HIGDON,JACKSON,AL,34.85,-85.62,QUARTER SIZED HAIL REPORTED IN THE HIGDON COMMUNITY (HUN)
2030,100,1 WSW SALTVILLE,SMYTH,VA,36.87,-81.78,HAIL RANGED FROM NICKEL TO QUARTER SIZE ALONG RT 91 (RNK)
2031,175,4 N CLEARWATER,SEDGWICK,KS,37.56,-97.51,(ICT)
2033,125,PLATTSMOUTH,CASS,NE,41.01,-95.89,(OAX)
2036,100,3 S COZAD,DAWSON,NE,40.82,-99.99,(GID)
2040,100,HODGENVILLE,LARUE,KY,37.57,-85.74,(LMK)
2042,150,3 SE COZAD,DAWSON,NE,40.83,-99.95,(GID)
2045,100,CHEROKEE,ALFALFA,OK,36.75,-98.35,(OUN)
2045,175,HODGENVILLE,LARUE,KY,37.57,-85.74,(LMK)
2046,175,WICHITA MID CONTINENT A,SEDGWICK,KS,37.66,-97.44,GOLF BALL SIZE HAIL AT THE NWS OFFICE (ICT)
2046,275,1 N GIBBON,BUFFALO,NE,40.76,-98.84,LAW ENFORCEMENT REPORTS BASEBALL SIZE HAIL NORTH OF GIBBON NEAR 85TH ROAD (GID)
2047,100,7 WNW EDMOND,OKLAHOMA,OK,35.69,-97.59,MCARTHUR AND COFFEE CREEK RD (OUN)
2057,100,NORTHEAST WICHITA,SEDGWICK,KS,37.75,-97.22,QUARTER SIZE HAIL AT THE KWCH OFFICE (ICT)
2059,150,10 NW LEXINGTON,DAWSON,NE,40.88,-99.88,STORM CHASER REPORTS QUARTER AND PING PONG SIZE HAIL (GID)
2100,100,2 E GIBBON,BUFFALO,NE,40.75,-98.81,(GID)
2101,150,7 ENE PIEDMONT,OKLAHOMA,OK,35.68,-97.63,(OUN)
2101,175,2 N BENTON,BUTLER,KS,37.82,-97.11,(ICT)
2102,100,ROCKPORT,ATCHISON,MO,40.42,-95.52,(EAX)
2105,175,13 W MEDFORD,GRANT,OK,36.81,-97.97,NESCATUNGA NR HWY 11 (OUN)
2105,100,4 ESE PAXICO,WABAUNSEE,KS,39.06,-96.1,(TOP)
2107,100,2 NW HODGENVILLE,LARUE,KY,37.59,-85.76,(LMK)
2107,175,10 NNW LEXINGTON,DAWSON,NE,40.91,-99.82,STORM CHASER REPORTS GOLF BALL SIZE HAIL COVERING THE ROAD. (GID)
2108,175,BEL AIRE,SEDGWICK,KS,37.76,-97.27,(ICT)
2108,100,ROCKPORT,ATCHISON,MO,40.42,-95.52,(EAX)
2108,100,5 E BURWELL,GARFIELD,NE,41.78,-99.04,QUARTER SIZE HAIL REPORTED NEAR BURWELL. (LBF)
2112,100,10 NE MURFREESBORO,RUTHERFORD,TN,35.96,-86.27,QUARTER SIZE HAIL WAS REPORTED IN MILTON. (OHX)
2113,175,15 N LEXINGTON,DAWSON,NE,41,-99.74,(GID)
2115,125,5 W EDMOND,OKLAHOMA,OK,35.65,-97.57,(OUN)
2115,100,HUMBOLDT,RICHARDSON,NE,40.17,-95.94,ALONG WITH WINDS ESTIMATED AT 60 MPH. (OAX)
2117,100,6 NE EDMOND,OKLAHOMA,OK,35.71,-97.4,I-35 AND SEWARD (OUN)
2117,100,1 S PERTH,SUMNER,KS,37.16,-97.49,(ICT)
2118,150,W EDMOND,OKLAHOMA,OK,35.65,-97.48,178TH AND WESTERN (OUN)
2118,275,5 NNW ANDOVER,SEDGWICK,KS,37.76,-97.17,SPOTTER WAS 1 MILE WEST OF THE BUTLER AND SEDGEWICK COUNTY LINE ON 45TH STREET NORTH. (ICT)
2120,150,4 W ROSSVILLE,SHAWNEE,KS,39.14,-96.03,(TOP)
2125,100,2 NE POTWIN,BUTLER,KS,37.96,-96.99,FIRE DEPARTMENT REPORTS QUARTER SIZED HAIL 3 MILES NORTH AND 2 MILES EAST OF THE CITY OF POTWIN. (ICT)
2125,100,5 NW WOOD RIVER,HALL,NE,40.87,-98.67,(GID)
2126,175,2 W WESTBORO,ATCHISON,MO,40.53,-95.36,(EAX)
2128,100,4 ENE WAKEFIELD,RILEY,KS,39.24,-96.95,(TOP)
2130,100,DUNLAP,HARRISON,IA,41.85,-95.6,MOSTLY PEA TO NICKLE WITH JUST A FEW QUARTER SIZE HAILSTONES. (OAX)
2131,100,LA BELLE,LEWIS,MO,40.12,-91.91,OBSERVERS COMMENTS....FAST MOVING STORM HAIL LASTED ONLY A BRIEF PERIOD. (LSX)
2134,150,3 ENE WAKEFIELD,CLAY,KS,39.23,-96.97,(TOP)
2136,125,1 W NEMAHA,NEMAHA,NE,40.34,-95.69,(OAX)
2137,260,5 WNW ARCADIA,OKLAHOMA,OK,35.69,-97.41,(OUN)
2138,200,5 ESE AUBURN,NEMAHA,NE,40.36,-95.75,(OAX)
2139,175,EL DORADO LAKE,BUTLER,KS,37.86,-96.79,DELAYED REPORT OF GOLF BALL SIZE HAIL JUST NORTH OF EL DORADO LAKE (ICT)
2139,100,AUBURN,NEMAHA,NE,40.39,-95.84,(OAX)
2140,175,4 SSE COLDWATER,COMANCHE,KS,37.2,-99.32,(DDC)
2142,175,COLDWATER,COMANCHE,KS,37.26,-99.34,(DDC)
2144,175,4 N ST. LIBORY,HOWARD,NE,41.14,-98.35,(GID)
2145,100,1 SE ERICSON,WHEELER,NE,41.77,-98.66,QUARTER SIZE HAIL REPORTED AT 445 PM NEAR ERICSON. (LBF)
2146,100,WOOD RIVER,HALL,NE,40.82,-98.6,(GID)
2150,250,5 S COLDWATER,COMANCHE,KS,37.19,-99.34,TENNIS BALL SIZE HAIL WAS REPORTED BY LAW ENFORCEMENT 5 MILES SOUTH OF COLDWATER. (DDC)
2150,175,QUINTER,GOVE,KS,39.07,-100.23,MAINLY PEA SIZED BUT SEVERAL LARGER STONES (GLD)
2150,100,4 N RANDOLPH,RILEY,KS,39.49,-96.76,(TOP)
2151,275,3 N LUTHER,OKLAHOMA,OK,35.71,-97.18,(OUN)
2152,100,LANCASTER,GARRARD,KY,37.62,-84.58,(LMK)
2155,200,2 WSW BLANCHARD,GRADY,OK,35.13,-97.69,(OUN)
2156,175,6 N ROCKPORT,ATCHISON,MO,40.5,-95.52,ALSO 60 TO 70 MPH WINDS (EAX)
2158,100,ALDA,HALL,NE,40.86,-98.47,(GID)
2202,125,3 WNW NORMAN,CLEVELAND,OK,35.24,-97.49,36TH NW AND ROCK CREEK RD (OUN)
2203,100,4 S CARMAN,HENDERSON,IL,40.68,-91.07,PEA TO QUARTER SIZE HAIL. (DVN)
2205,100,2 S NEWCASTLE,MCCLAIN,OK,35.22,-97.6,(OUN)
2205,100,2 SE WILMORE,COMANCHE,KS,37.32,-99.18,ALSO REPORTED 70 MPH WINDS. (DDC)
2205,100,N ROCK,COWLEY,KS,37.44,-97.01,(ICT)
2205,175,BURLINGTON,DES MOINES,IA,40.81,-91.12,SPOTTER FORWARDED PICTURES OF GOLFBALL HAIL FROM FRIEND IN BURLINGTON. TIME ESTIMATED BASED ON TIME STAMP ON PHOTOS. (DVN)
2205,100,2 S ALDA,HALL,NE,40.84,-98.47,(GID)
2206,100,2 SSE BURLINGTON,DES MOINES,IA,40.78,-91.1,(DVN)
2206,100,VILLISCA,MONTGOMERY,IA,40.93,-94.98,(OAX)
2207,100,ESE WAYLAND,CLARK,MO,40.39,-91.58,ALSO WIND GUSTS ESTIMATED TO BE OVER 50 MPH FROM THE WEST SOUTHWEST AND VERY HEAVY RAIN. (DVN)
2207,175,BURLINGTON,DES MOINES,IA,40.81,-91.12,JUST EAST OF THE BURLINGTON AIRPORT. (DVN)
2208,150,2 SSE BURLINGTON,DES MOINES,IA,40.79,-91.11,(DVN)
2209,100,2 SE BURLINGTON,DES MOINES,IA,40.79,-91.1,(DVN)
2210,125,BLANCHARD,MCCLAIN,OK,35.15,-97.66,COUNTY LINE RD AND HWY 62 (OUN)
2210,100,BENNINGTON,OTTAWA,KS,39.03,-97.59,(TOP)
2211,100,ALDA,HALL,NE,40.86,-98.47,(GID)
2213,250,3 WSW CARBON,ADAMS,IA,41.03,-94.87,HAIL COMPLETELY COVERING THE GROUND (DMX)
2215,300,NW CARBON,ADAMS,IA,41.07,-94.83,2 TO 3 INCH DIAMETER HAIL. VIA SOCIAL MEDIA. (DMX)
2217,125,4 SSW KEOKUK,HANCOCK,IL,40.36,-91.44,TIME ESTIMATED FROM RADAR. (DVN)
2220,100,5 W BURWELL,LOUP,NE,41.78,-99.23,(LBF)
2221,100,4 SSW KEOKUK,HANCOCK,IL,40.36,-91.44,QUARTER SIZED HAIL AND WIND GUSTS TO ABOUT 40 MPH. (DVN)
2222,100,ALTA VISTA,WABAUNSEE,KS,38.86,-96.49,(TOP)
2223,100,4 W COATS,PRATT,KS,37.51,-98.9,(DDC)
2223,100,4 N ST. CHARLES,WINONA,MN,44.03,-92.06,ALSO LARGE PIECES OF TIN METAL 6 FT LONG BLOWN OUT (ARX)
2224,100,1 E SHENANDOAH,PAGE,IA,40.76,-95.35,NICKEL TO QUARTER-SIZE HAIL NEAR SHENANDOAH. (OAX)
2225,150,2 SW MOORE,CLEVELAND,OK,35.32,-97.51,(OUN)
2225,100,4 ESE VODA,TREGO,KS,39.02,-99.95,(DDC)
2225,175,S KEOKUK,LEE,IA,40.4,-91.4,(DVN)
2226,150,2 N NORMAN,CLEVELAND,OK,35.25,-97.44,NEAR MAX WESTHEIMER AIRPORT. FROM KFOR (OUN)
2227,175,2 NW NORMAN,CLEVELAND,OK,35.24,-97.47,36TH AND TECUSEMAH (OUN)
2227,100,HASTINGS,ADAMS,NE,40.59,-98.39,NWS EMPLOYEE REPORTS HAIL UP TO ONE INCH (GID)
2227,100,PLATTE CENTER,PLATTE,NE,41.54,-97.49,(OAX)
2228,175,1 WNW KEOKUK,LEE,IA,40.41,-91.42,(DVN)
2228,100,HASTINGS,ADAMS,NE,40.59,-98.39,MOSTLY PENNY TO NICKEL SIZED (GID)
2230,300,N NORMAN,CLEVELAND,OK,35.22,-97.44,E 12TH AND TECUMSEH (OUN)
2233,100,WAKEENEY,TREGO,KS,39.02,-99.88,(DDC)
2235,100,RANDOLPH,RILEY,KS,39.43,-96.76,(TOP)
2235,125,14 N TAYLOR,LOUP,NE,41.97,-99.38,(LBF)
2236,125,HASTINGS,ADAMS,NE,40.59,-98.39,(GID)
2238,100,HAMILTON,HANCOCK,IL,40.39,-91.36,(DVN)
2239,175,1 W NEWCASTLE,MCCLAIN,OK,35.25,-97.62,(OUN)
2240,175,NEWCASTLE,MCCLAIN,OK,35.25,-97.6,(OUN)
