	no. of initiations
2013-05-19 20:02:36	5.0
2013-05-19 20:06:52	11.0
2013-05-19 20:11:07	20.0
2013-05-19 20:15:23	2.0
2013-05-19 20:19:38	30.0
2013-05-19 20:23:52	76.0
2013-05-19 20:28:09	50.0
2013-05-19 20:32:24	92.0
2013-05-19 20:36:40	44.0
2013-05-19 20:40:56	77.0
2013-05-19 20:45:12	152.0
2013-05-19 20:49:28	160.0
2013-05-19 20:53:47	151.0
2013-05-19 20:58:03	123.0
2013-05-19 21:02:19	107.0
2013-05-19 21:06:34	102.0
2013-05-19 21:10:48	80.0
2013-05-19 21:15:03	84.0
2013-05-19 21:19:20	134.0
2013-05-19 21:23:39	69.0
2013-05-19 21:27:57	85.0
2013-05-19 21:32:13	15.0
2013-05-19 21:36:29	36.0
2013-05-19 21:40:44	35.0
2013-05-19 21:45:00	8.0
2013-05-19 21:49:14	19.0
2013-05-19 21:53:32	15.0
2013-05-19 21:57:47	12.0
2013-05-19 22:02:03	7.0
2013-05-19 22:06:17	5.0
2013-05-19 22:10:33	8.0
2013-05-19 22:14:50	1.0
2013-05-19 22:19:06	3.0
2013-05-19 22:23:22	4.0
2013-05-19 22:27:38	1.0
2013-05-19 22:31:53	1.0
2013-05-19 22:36:07	0.0
