	2013-05-19 20:02:36	2013-05-19 20:06:52	2013-05-19 20:11:07	2013-05-19 20:15:23	2013-05-19 20:19:38	2013-05-19 20:23:52	2013-05-19 20:28:09	2013-05-19 20:32:24	2013-05-19 20:36:40	2013-05-19 20:40:56	2013-05-19 20:45:12	2013-05-19 20:49:28	2013-05-19 20:53:47	2013-05-19 20:58:03	2013-05-19 21:02:19	2013-05-19 21:06:34	2013-05-19 21:10:48	2013-05-19 21:15:03	2013-05-19 21:19:20	2013-05-19 21:23:39	2013-05-19 21:27:57	2013-05-19 21:32:13	2013-05-19 21:36:29	2013-05-19 21:40:44	2013-05-19 21:45:00	2013-05-19 21:49:14	2013-05-19 21:53:32	2013-05-19 21:57:47	2013-05-19 22:02:03	2013-05-19 22:06:17	2013-05-19 22:10:33	2013-05-19 22:14:50	2013-05-19 22:19:06	2013-05-19 22:23:22	2013-05-19 22:27:38	2013-05-19 22:31:53	2013-05-19 22:36:07	2013-05-19 22:40:25	2013-05-19 22:44:38	2013-05-19 22:48:56	2013-05-19 22:53:11	2013-05-19 22:57:25
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.466479e-317	3.4683784e-317	3.4776905e-317	3.4795897e-317	3.481489e-317
500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4665405e-317	3.4684396e-317	3.477752e-317	3.479651e-317	3.48155e-317
1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4666017e-317	3.468501e-317	3.477813e-317	3.4797122e-317	3.4816114e-317
1500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.466663e-317	3.468562e-317	3.4778743e-317	3.4797735e-317	3.4816727e-317
2000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4667243e-317	3.4686234e-317	3.4779356e-317	3.479835e-317	3.481734e-317
2500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-324	3.4686847e-317	3.477997e-317	3.479896e-317	3.481795e-317
3000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.468746e-317	3.478058e-317	3.4799573e-317	3.4818565e-317
3500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-324	3.468807e-317	3.4781194e-317	3.4800186e-317	3.481918e-317
4000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-324	3.4688685e-317	3.4781806e-317	3.48008e-317	3.481979e-317
4500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-324	3.46893e-317	3.478242e-317	3.480141e-317	3.4820403e-317
