New Mexico Tech Lightning Mapping Array -- analyzed data
Exported on: Mon May  4 13:35:20 2020
Original data file: /Users/sharm261/Desktop/mount/OKLMA_data_2013_cases/20130519/LYLOUT_130519_212000_0600.dat.gz
Analysis started: Thu Aug 29 03:15:48 2013
Analysis finished: Thu Aug 29 06:41:36 2013
Data start time: 05/19/13 21:20:00
Number of seconds analyzed: 600
Location: OK LMA 2002/2005
Data:time (UT sec of day), lat, lon, alt(m), reduced chi^2, # of stations contributed, P(dBW), charge, mask
Number of events:       39389
Flash stats: not saved
*** data ***
 76801.000182619   35.661415  -97.388603   8814.1   0.35  7  1.8900e+01  0   f89
 76801.002902830   35.608414  -97.413681   7546.5   0.21  8  1.2100e+01  0  178d
 76801.004673113   35.608017  -97.413498   8221.4   0.57  7  1.2900e+01  0   d8d
 76801.007607274   35.656475  -97.392593   9398.1   0.09  7  1.0600e+01  0  158d
 76801.039676878   35.658329  -97.388840   9488.3   0.10  7  1.4800e+01  0  1785
 76801.095486048   35.673557  -97.440536  16210.3   0.16 10  1.3500e+01  0 13d8d
 76801.097707111   35.659367  -97.383026   9454.7   0.14  7  1.3200e+01  0   78d
 76801.098452855   35.659828  -97.383240   9543.1   0.64 12  1.9100e+01  0 17f8d
 76801.108532783   35.655880  -97.403961   7000.2   0.44  8  2.2700e+01  0 16e0c
 76801.126619892   35.704128  -97.272369   9447.1   0.46 10  1.9600e+01  0 13f85
 76801.145558155   35.650654  -97.397713  10153.8   0.50  8  1.6100e+01  0 11a8d
 76801.145827353   35.599293  -97.537003   5722.6   0.65  7  1.5900e+01  0  3d84
 76801.210028256   35.663982  -97.400856  16320.9   0.43 10  1.8300e+01  0 13d8d
 76801.294022178   35.662819  -97.400894  15688.9   0.87  7  1.3100e+01  0 1340d
 76801.317310123   35.711311  -97.387863  11348.6   0.60 11  1.8200e+01  0 13f8d
 76801.383666433   35.672009  -97.386841  16031.7   0.99 12  3.2900e+01  0 17f8d
 76801.391088192   35.717751  -97.413574   9622.7   0.73 10  1.4300e+01  0 11f8d
 76801.391237884   35.712837  -97.423401   9651.8   0.79  7  1.0700e+01  0 12e0c
 76801.401623210   35.716221  -97.420372   9694.1   0.22  8  1.2000e+01  0  1e8d
 76801.451652571   35.712280  -97.429268   9832.7   0.27  7  9.3000e+00  0   f85
 76801.468682135   35.729404  -97.411324  10835.7   0.72  7  1.5900e+01 -3 12d81
 76801.473631491   35.706802  -97.439255  10068.5   0.51  9  1.3500e+01  0 13d8c
 76801.479160062   35.704979  -97.454773   8845.2   0.92 10  1.4100e+01  0 13f85
 76801.480048468   35.679379  -97.457016   9543.2   0.41  8  1.0900e+01  0   f8d
 76801.481335157   35.712994  -97.439117   9114.9   0.29 10  1.3100e+01  0 11f8d
 76801.481715664   35.713364  -97.439606   9090.2   0.48 11  1.4000e+01  0 13f8d
 76801.481781464   35.712746  -97.442284   8841.1   0.23  7  1.3000e+01  0  270d
 76801.482173396   35.681087  -97.457123   9836.9   0.57 10  1.7500e+01  0 13f85
 76801.485791248   35.710148  -97.435730   9895.8   0.27 10  1.4300e+01  0 1378d
 76801.486989840   35.725060  -97.409386  10812.5   0.81  7  3.0500e+01 -3   78d
 76801.489165880   35.716187  -97.453972   8188.6   0.78 10  1.8100e+01  3 1378d
 76801.494470226   35.683163  -97.460884   9669.7   0.22  7  1.1100e+01  0   78d
 76801.498515710   35.711864  -97.456291   7548.1   0.49  7  1.3800e+01  3 13704
 76801.504678868   35.708309  -97.471428   6859.6   0.23  7  1.4900e+01  3   78d
 76801.508183975   35.714684  -97.471916   6400.5   0.57  7  1.3700e+01  3   78d
 76801.509061302   35.715984  -97.469391   6300.7   0.60  7  1.5700e+01  3   78d
 76801.509513349   35.716816  -97.469536   6272.3   0.26  7  1.4600e+01  3   78d
 76801.515570225   35.723274  -97.475334   7634.9   0.62  8  1.5900e+01  3  178d
 76801.519863087   35.716751  -97.481155   6583.0   0.33  7  1.4700e+01  3   78d
 76801.521375011   35.775333  -97.300049   6102.5   0.46  7  1.4000e+01  0   78d
 76801.523848818   35.717548  -97.486511   5337.2   0.77  7  1.2900e+01  3   78d
 76801.528660169   35.717804  -97.481743   4655.1   0.65  7  1.1000e+01  3   78d
 76801.530021441   35.713734  -97.487984   4659.9   0.26  7  1.1300e+01  3   78d
 76801.532230956   35.712566  -97.490417   4557.9   0.36  7  1.1900e+01  3   78d
 76801.532687080   35.767628  -97.309387   6940.2   0.59  7  1.4500e+01  0   78d
 76801.534996249   35.728493  -97.483208   7455.2   0.32  8  1.7500e+01  3  3785
 76801.535094635   35.733685  -97.480148   7974.4   0.88  7  1.5400e+01  3   78d
 76801.537753180   35.732124  -97.481590   8016.5   0.77 10  2.0400e+01  3  3f8d
